Code1,USGDP...D,Code2,USCPANNL,Code3,USPRATE.,Code4,USGBILL3
Q1 1985,7469.5,Q1 1985,3.58,Q1 1985,8.5,Q1 1985,8.15
Q2 1985,7537.9,Q2 1985,3.74,Q2 1985,7.75,Q2 1985,6.83
Q3 1985,7655.2,Q3 1985,3.35,Q3 1985,8,Q3 1985,7.26
Q4 1985,7712.6,Q4 1985,3.51,Q4 1985,7.75,Q4 1985,7.26
Q1 1986,7784.1,Q1 1986,3.09,Q1 1986,7.25,Q1 1986,6.54
Q2 1986,7819.8,Q2 1986,1.62,Q2 1986,6.88,Q2 1986,6.12
Q3 1986,7898.6,Q3 1986,1.64,Q3 1986,5.88,Q3 1986,5.33
Q4 1986,7939.5,Q4 1986,1.28,Q4 1986,6,Q4 1986,5.84
Q1 1987,7995,Q1 1987,2.2,Q1 1987,6,Q1 1987,5.79
Q2 1987,8084.7,Q2 1987,3.76,Q2 1987,6.75,Q2 1987,5.89
Q3 1987,8158,Q3 1987,4.19,Q3 1987,7.31,Q3 1987,6.81
Q4 1987,8292.7,Q4 1987,4.5,Q4 1987,6.81,Q4 1987,5.85
Q1 1988,8339.3,Q1 1988,3.97,Q1 1988,6.75,Q1 1988,5.89
Q2 1988,8449.5,Q2 1988,3.92,Q2 1988,7.5,Q2 1988,6.75
Q3 1988,8498.3,Q3 1988,4.11,Q3 1988,7.75,Q3 1988,7.49
Q4 1988,8610.9,Q4 1988,4.31,Q4 1988,8.75,Q4 1988,8.39
Q1 1989,8697.7,Q1 1989,4.82,Q1 1989,9.75,Q1 1989,9.2
Q2 1989,8766.1,Q2 1989,5.22,Q2 1989,9.56,Q2 1989,8.26
Q3 1989,8831.5,Q3 1989,4.68,Q3 1989,9,Q3 1989,8.14
Q4 1989,8850.2,Q4 1989,4.6,Q4 1989,8.25,Q4 1989,7.85
Q1 1990,8947.1,Q1 1990,5.23,Q1 1990,8.25,Q1 1990,8.05
Q2 1990,8981.7,Q2 1990,4.58,Q2 1990,8.25,Q2 1990,8
Q3 1990,8983.9,Q3 1990,5.53,Q3 1990,8,Q3 1990,7.37
Q4 1990,8907.4,Q4 1990,6.22,Q4 1990,7,Q4 1990,6.63
Q1 1991,8865.6,Q1 1991,5.29,Q1 1991,6,Q1 1991,5.91
Q2 1991,8934.4,Q2 1991,4.85,Q2 1991,5.75,Q2 1991,5.69
Q3 1991,8977.3,Q3 1991,3.88,Q3 1991,5.25,Q3 1991,5.26
Q4 1991,9016.4,Q4 1991,2.99,Q4 1991,4,Q4 1991,3.95
Q1 1992,9123,Q1 1992,2.87,Q1 1992,4,Q1 1992,4.15
Q2 1992,9223.5,Q2 1992,3.1,Q2 1992,3.75,Q2 1992,3.65
Q3 1992,9313.2,Q3 1992,3.1,Q3 1992,3,Q3 1992,2.74
Q4 1992,9406.5,Q4 1992,3.05,Q4 1992,3,Q4 1992,3.15
Q1 1993,9424.1,Q1 1993,3.2,Q1 1993,3,Q1 1993,2.96
Q2 1993,9480.1,Q2 1993,3.15,Q2 1993,3,Q2 1993,3.1
Q3 1993,9526.3,Q3 1993,2.74,Q3 1993,3,Q3 1993,2.98
Q4 1993,9653.5,Q4 1993,2.72,Q4 1993,3,Q4 1993,3.01
Q1 1994,9748.2,Q1 1994,2.52,Q1 1994,3.5,Q1 1994,3.57
Q2 1994,9881.4,Q2 1994,2.38,Q2 1994,4.25,Q2 1994,4.23
Q3 1994,9939.7,Q3 1994,2.88,Q3 1994,4.75,Q3 1994,4.79
Q4 1994,10052.5,Q4 1994,2.65,Q4 1994,5.5,Q4 1994,5.7
Q1 1995,10086.9,Q1 1995,2.84,Q1 1995,6,Q1 1995,5.88
Q2 1995,10122.1,Q2 1995,3.09,Q2 1995,6,Q2 1995,5.66
Q3 1995,10208.8,Q3 1995,2.64,Q3 1995,5.75,Q3 1995,5.42
Q4 1995,10281.2,Q4 1995,2.65,Q4 1995,5.5,Q4 1995,5.08
Q1 1996,10348.7,Q1 1996,2.74,Q1 1996,5.25,Q1 1996,5.15
Q2 1996,10529.4,Q2 1996,2.85,Q2 1996,5.25,Q2 1996,5.16
Q3 1996,10626.8,Q3 1996,2.94,Q3 1996,5.25,Q3 1996,5.04
Q4 1996,10739.1,Q4 1996,3.19,Q4 1996,5.25,Q4 1996,5.15
Q1 1997,10820.9,Q1 1997,2.95,Q1 1997,5.5,Q1 1997,5.34
Q2 1997,10984.2,Q2 1997,2.34,Q2 1997,5.5,Q2 1997,5.17
Q3 1997,11124,Q3 1997,2.2,Q3 1997,5.5,Q3 1997,5.11
Q4 1997,11210.3,Q4 1997,1.87,Q4 1997,5.5,Q4 1997,5.35
Q1 1998,11321.2,Q1 1998,1.46,Q1 1998,5.5,Q1 1998,5.16
Q2 1998,11431,Q2 1998,1.6,Q2 1998,5.5,Q2 1998,5.1
Q3 1998,11580.6,Q3 1998,1.6,Q3 1998,5.25,Q3 1998,4.36
Q4 1998,11770.7,Q4 1998,1.55,Q4 1998,4.75,Q4 1998,4.47
Q1 1999,11864.7,Q1 1999,1.67,Q1 1999,4.75,Q1 1999,4.5
Q2 1999,11962.5,Q2 1999,2.11,Q2 1999,5,Q2 1999,4.78
Q3 1999,12113.1,Q3 1999,2.35,Q3 1999,5.25,Q3 1999,4.86
Q4 1999,12323.3,Q4 1999,2.62,Q4 1999,5.5,Q4 1999,5.22
Q1 2000,12359.1,Q1 2000,3.24,Q1 2000,6,Q1 2000,5.88
Q2 2000,12592.5,Q2 2000,3.33,Q2 2000,6.5,Q2 2000,5.87
Q3 2000,12607.7,Q3 2000,3.51,Q3 2000,6.5,Q3 2000,6.21
Q4 2000,12679.3,Q4 2000,3.43,Q4 2000,6.5,Q4 2000,5.89
Q1 2001,12643.3,Q1 2001,3.4,Q1 2001,5,Q1 2001,4.29
Q2 2001,12710.3,Q2 2001,3.38,Q2 2001,3.75,Q2 2001,3.62
Q3 2001,12670.1,Q3 2001,2.7,Q3 2001,3,Q3 2001,2.37
Q4 2001,12705.3,Q4 2001,1.86,Q4 2001,1.75,Q4 2001,1.73
Q1 2002,12822.3,Q1 2002,1.25,Q1 2002,1.75,Q1 2002,1.79
Q2 2002,12893,Q2 2002,1.3,Q2 2002,1.75,Q2 2002,1.67
Q3 2002,12955.8,Q3 2002,1.59,Q3 2002,1.75,Q3 2002,1.6
Q4 2002,12964,Q4 2002,2.2,Q4 2002,1.25,Q4 2002,1.19
Q1 2003,13031.2,Q1 2003,2.87,Q1 2003,1.25,Q1 2003,1.09
Q2 2003,13152.1,Q2 2003,2.13,Q2 2003,1,Q2 2003,0.84
Q3 2003,13372.4,Q3 2003,2.2,Q3 2003,1,Q3 2003,0.93
Q4 2003,13528.7,Q4 2003,1.9,Q4 2003,1,Q4 2003,0.91
Q1 2004,13606.5,Q1 2004,1.79,Q1 2004,1,Q1 2004,0.93
Q2 2004,13706.2,Q2 2004,2.87,Q2 2004,1.25,Q2 2004,1.3
Q3 2004,13830.8,Q3 2004,2.73,Q3 2004,1.75,Q3 2004,1.68
Q4 2004,13950.4,Q4 2004,3.32,Q4 2004,2.25,Q4 2004,2.18
Q1 2005,14099.1,Q1 2005,3.04,Q1 2005,2.75,Q1 2005,2.73
Q2 2005,14172.7,Q2 2005,2.95,Q2 2005,3.25,Q2 2005,3.06
Q3 2005,14291.8,Q3 2005,3.83,Q3 2005,3.75,Q3 2005,3.47
Q4 2005,14373.4,Q4 2005,3.74,Q4 2005,4.25,Q4 2005,3.99
Q1 2006,14546.1,Q1 2006,3.65,Q1 2006,4.75,Q1 2006,4.52
Q2 2006,14589.6,Q2 2006,4.01,Q2 2006,5.25,Q2 2006,4.87
Q3 2006,14602.6,Q3 2006,3.34,Q3 2006,5.25,Q3 2006,4.77
Q4 2006,14716.9,Q4 2006,1.94,Q4 2006,5.25,Q4 2006,4.89
Q1 2007,14726,Q1 2007,2.42,Q1 2007,5.25,Q1 2007,4.9
Q2 2007,14838.7,Q2 2007,2.65,Q2 2007,5.25,Q2 2007,4.68
Q3 2007,14938.5,Q3 2007,2.36,Q3 2007,4.75,Q3 2007,3.72
Q4 2007,14991.8,Q4 2007,3.97,Q4 2007,4.25,Q4 2007,3.29
Q1 2008,14889.5,Q1 2008,4.1,Q1 2008,2.25,Q1 2008,1.36
Q2 2008,14963.4,Q2 2008,4.38,Q2 2008,2,Q2 2008,1.87
Q3 2008,14891.6,Q3 2008,5.3,Q3 2008,2,Q3 2008,0.9
Q4 2008,14577,Q4 2008,1.61,Q4 2008,0.25,Q4 2008,0.11
Q1 2009,14375,Q1 2009,-0.04,Q1 2009,0.25,Q1 2009,0.21
Q2 2009,14355.6,Q2 2009,-1.15,Q2 2009,0.25,Q2 2009,0.19
Q3 2009,14402.5,Q3 2009,-1.62,Q3 2009,0.25,Q3 2009,0.14
Q4 2009,14541.9,Q4 2009,1.46,Q4 2009,0.25,Q4 2009,0.06
Q1 2010,14604.8,Q1 2010,2.36,Q1 2010,0.25,Q1 2010,0.16
Q2 2010,14745.9,Q2 2010,1.77,Q2 2010,0.25,Q2 2010,0.18
Q3 2010,14845.5,Q3 2010,1.18,Q3 2010,0.25,Q3 2010,0.16
Q4 2010,14939,Q4 2010,1.27,Q4 2010,0.25,Q4 2010,0.12
Q1 2011,14881.3,Q1 2011,2.14,Q1 2011,0.25,Q1 2011,0.09
Q2 2011,14989.6,Q2 2011,3.43,Q2 2011,0.25,Q2 2011,0.03
Q3 2011,15021.1,Q3 2011,3.76,Q3 2011,0.25,Q3 2011,0.02
Q4 2011,15190.3,Q4 2011,3.29,Q4 2011,0.25,Q4 2011,0.02
Q1 2012,15291,Q1 2012,2.82,Q1 2012,0.25,Q1 2012,0.07
Q2 2012,15362.4,Q2 2012,1.89,Q2 2012,0.25,Q2 2012,0.09
Q3 2012,15380.8,Q3 2012,1.7,Q3 2012,0.25,Q3 2012,0.1
Q4 2012,15384.3,Q4 2012,1.89,Q4 2012,0.25,Q4 2012,0.05
Q1 2013,15457.2,Q1 2013,1.68,Q1 2013,0.25,Q1 2013,0.07
Q2 2013,15500.2,Q2 2013,1.39,Q2 2013,0.25,Q2 2013,0.04
Q3 2013,15614.4,Q3 2013,1.55,Q3 2013,0.25,Q3 2013,0.02
Q4 2013,15761.5,Q4 2013,1.23,Q4 2013,0.25,Q4 2013,0.07
Q1 2014,15724.9,Q1 2014,1.41,Q1 2014,0.25,Q1 2014,0.05
Q2 2014,15901.5,Q2 2014,2.05,Q2 2014,0.25,Q2 2014,0.04
Q3 2014,16068.8,Q3 2014,1.78,Q3 2014,0.25,Q3 2014,0.02
Q4 2014,16151.4,Q4 2014,1.25,Q4 2014,0.25,Q4 2014,0.04
Q1 2015,16177.3,Q1 2015,-0.06,Q1 2015,0.25,Q1 2015,0.03
Q2 2015,16333.6,Q2 2015,-0.04,Q2 2015,0.25,Q2 2015,0.01
Q3 2015,16414,Q3 2015,0.11,Q3 2015,0.25,Q3 2015,-0.01
Q4 2015,16470.6,Q4 2015,0.47,Q4 2015,0.5,Q4 2015,0.16
Q1 2016,16505.1,Q1 2016,1.08,Q1 2016,0.5,Q1 2016,0.21
